chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
0.0,0.0,79852,0,0,-1,1,0,1,0.0,0.0,0,Jed,0.0,28,False,Joined Luton Town on loan until the end of the season - Expected back 01 Jul,2022-01-31 18:00:10.386198,39,79852.jpg,1.0,Steer,2.3,u,2,7,1,325469,0,248253,3690,0.0,0.3,Steer,90,0,0,0,3,0,0,0,0,0,1,0,13,8.2,0.0,0.0,0.8,461,38,483,18,443,5,479,38,,,,,,,1.0,0.25641025641025644,-0.25641025641025644
0.0,0.0,85242,0,0,-1,1,0,3,0.0,0.0,0,Conor,0.0,29,False,Joined Sheffield United on a season-long loan - Expected back 01 Jul,2021-08-31 07:00:13.054434,49,85242.jpg,0.0,Hourihane,0.0,u,2,7,0,398,0,3105,1,0.0,0.0,Hourihane,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,672,273,672,274,660,273,672,273,,,,,,,,0.0,-0.4081632653061224
100.0,100.0,98980,0,0,0,0,1,1,2.3,2.8,3,Emiliano,2.3,30,False,,2021-10-13 23:00:12.628419,55,98980.jpg,3.6,Martínez,12.0,a,2,7,82,606042,5796,2191079,8469,0.4,14.9,Martínez,2070,0,0,6,34,0,1,0,3,0,64,7,416,548.0,0.0,0.0,54.6,22,8,696,81,695,80,211,9,,,,,,,3.565217391304348,0.6545454545454545,0.29090909090909095
0.0,0.0,108156,0,0,0,0,0,2,0.0,0.0,0,Björn,0.0,31,False,Transferred to Royal Antwerp,2021-06-25 10:09:04.469362,45,108156.jpg,0.0,Engels,0.0,u,2,7,0,0,0,56,0,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,599,228,596,228,577,226,602,228,,,,,,,,0.0,-0.4444444444444444
0.0,0.0,110504,0,0,-3,3,0,3,0.0,0.0,0,Bertrand,0.0,32,False,Hamstring injury - Unknown return date,2022-02-11 14:30:13.245588,57,110504.jpg,1.7,Traoré,0.3,i,2,7,10,13576,22,143142,128,0.0,1.8,Traoré,149,0,1,0,3,0,0,0,0,0,0,0,33,15.4,7.4,60.0,8.3,446,189,418,200,303,157,416,184,,,,,,,6.040268456375839,0.2982456140350877,-0.052631578947368425
100.0,100.0,122775,0,0,0,0,0,3,0.0,0.5,0,Morgan,0.0,34,False,,2021-12-17 14:30:13.721741,50,122775.jpg,1.3,Sanson,0.0,a,2,7,8,2201,37,2624,38,0.0,1.6,Sanson,222,0,0,0,6,0,0,0,0,0,0,0,35,35.8,23.5,1.0,6.2,418,179,364,183,433,204,426,188,,,,,,,3.2432432432432434,0.26,-0.13999999999999999
100.0,100.0,122806,-1,1,-3,3,2,3,1.7,2.2,2,John,1.7,35,False,,2022-01-02 21:00:19.751877,57,122806.jpg,3.3,McGinn,1.1,a,2,7,69,305670,987,317039,1919,0.3,12.1,McGinn,1830,3,2,5,31,0,0,0,6,0,0,8,304,421.8,470.6,130.0,102.3,70,27,24,18,203,110,64,44,4.0,,,,,,3.39344262295082,0.5789473684210525,0.22807017543859645
,,123354,0,0,-1,1,1,2,0.0,0.5,0,Kortney,0.0,36,False,,,44,123354.jpg,2.9,Hause,0.2,a,2,7,20,40097,97,39760,217,0.0,4.5,Hause,397,1,0,1,9,0,0,0,0,0,0,3,89,102.8,5.9,64.0,17.3,342,133,420,156,296,93,367,132,,,,,,,4.534005037783375,0.6590909090909091,0.2045454545454545
0.0,0.0,148508,0,0,-1,1,0,3,0.0,0.0,0,Mahmoud Ahmed,0.0,37,False,Joined Istanbul Basaksehir on loan until the end of the season,2022-01-01 17:00:18.616625,54,148508.jpg,1.0,Ibrahim Hassan,0.0,u,2,7,1,3656,0,3905,70,0.0,0.2,Trézéguet,10,0,0,0,1,0,0,0,0,0,0,0,4,1.8,2.0,10.0,1.4,486,210,436,205,392,188,475,206,,,,,,,9.0,0.18518518518518517,-0.18518518518518517
100.0,100.0,149484,0,0,0,0,2,2,1.7,2.2,2,Tyrone,1.7,38,False,,2021-12-27 01:30:11.125924,50,149484.jpg,3.3,Mings,5.9,a,2,7,72,825593,7531,1045422,5513,0.3,14.4,Mings,1928,1,2,6,32,0,0,0,6,0,0,9,364,432.4,68.1,246.0,74.6,68,23,275,81,119,15,137,35,,,,,,,3.3609958506224067,0.6599999999999999,0.25999999999999995
100.0,100.0,178301,0,0,1,-1,1,4,1.7,2.2,1,Ollie,1.7,40,False,,2022-01-02 21:00:19.804743,76,178301.jpg,3.4,Watkins,9.9,a,2,7,72,2684750,9444,2137222,47743,0.2,9.5,Watkins,1722,5,2,5,31,0,0,0,3,0,0,9,212,313.0,281.7,752.0,134.4,140,14,86,13,10,4,32,9,,,,,3.0,,3.7630662020905925,0.4473684210526316,0.18421052631578946
0.0,0.0,184704,0,0,-1,1,0,3,0.0,0.0,0,Marvelous,0.0,41,False,Knee injury - Expected back 19 Mar,2021-12-13 15:00:10.417277,44,184704.jpg,1.3,Nakamba,0.1,i,2,7,16,24451,19,31182,137,0.0,3.6,Nakamba,754,0,0,1,16,0,0,0,4,0,0,0,96,118.2,39.5,0.0,15.9,328,140,328,169,548,211,377,165,,,,,,,1.909814323607427,0.2954545454545454,-0.15909090909090906
100.0,100.0,195546,0,0,-3,3,2,3,2.0,2.5,3,Emiliano,2.0,43,False,,2022-02-10 01:00:14.690772,62,195546.jpg,3.0,Buendía Stati,1.1,a,2,7,67,176352,2090,496516,2192,0.3,10.8,Buendía,1430,2,3,6,24,0,0,0,1,0,0,5,255,319.2,464.3,343.0,112.8,134,51,27,20,77,45,43,29,,,,,,,4.216783216783217,0.48387096774193544,0.16129032258064516
