h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.51032,1.39778,1.51032,1.39778,"{'att': 396, 'def': 15}","{'att': 272, 'def': 23}",4,11,2,2,1.4754,d,2021-10-30 14:00:00,0,1,0,1,0.11254
h,1.43123,0.227321,0.670063,0.227321,"{'att': 204, 'def': 29}","{'att': 406, 'def': 20}",6,1,1,1,2.5306,d,2021-11-06 17:30:00,0,1,0,1,0.4427419999999999
a,0.582787,1.06946,0.582787,1.06946,"{'att': 167, 'def': 22}","{'att': 392, 'def': 22}",4,6,0,2,0.8714999999999999,l,2021-11-20 15:00:00,0,0,1,0,-0.486673
h,1.90498,0.864829,1.90498,0.864829,"{'att': 194, 'def': 21}","{'att': 253, 'def': 37}",13,6,0,0,2.1563000000000003,d,2021-11-27 17:30:00,0,1,0,1,1.0401509999999998
a,1.2607,1.14679,1.2607,1.14679,"{'att': 99, 'def': 28}","{'att': 321, 'def': 24}",10,5,1,1,1.428,d,2021-12-01 19:30:00,0,1,0,1,0.1139099999999999
a,1.4872,1.34236,1.4872,1.34236,"{'att': 106, 'def': 25}","{'att': 199, 'def': 23}",6,8,1,1,1.5093,d,2021-12-04 15:00:00,0,1,0,1,0.14484
h,1.20118,1.11736,1.20118,1.11736,"{'att': 190, 'def': 30}","{'att': 269, 'def': 15}",2,3,0,1,1.4464,l,2021-12-15 19:30:00,0,0,1,0,0.08382
h,0.943363,1.10342,0.943363,1.10342,"{'att': 258, 'def': 25}","{'att': 240, 'def': 19}",7,7,2,0,1.1899,w,2021-12-26 20:00:00,1,0,0,3,-0.1600570000000001
a,0.78663,0.763458,0.78663,0.763458,"{'att': 202, 'def': 16}","{'att': 249, 'def': 27}",11,10,1,1,1.3281,d,2021-12-29 19:30:00,0,1,0,1,0.023172
a,1.48397,1.82698,1.48397,1.06581,"{'att': 186, 'def': 23}","{'att': 215, 'def': 19}",8,5,3,2,1.0883,w,2022-01-02 14:00:00,1,0,0,3,0.4181600000000001
h,2.18053,0.509681,1.41937,0.509681,"{'att': 149, 'def': 28}","{'att': 295, 'def': 12}",11,4,1,1,2.6221,d,2022-01-14 20:00:00,0,1,0,1,0.909689
h,0.747557,0.572994,0.747557,0.572994,"{'att': 327, 'def': 23}","{'att': 210, 'def': 16}",13,11,1,1,1.5013,d,2022-01-18 09:45:00,0,1,0,1,0.174563
a,1.19738,1.70979,1.19738,1.70979,"{'att': 235, 'def': 23}","{'att': 301, 'def': 18}",8,10,1,1,0.9332,d,2022-01-23 14:00:00,0,1,0,1,-0.5124099999999998
a,1.80456,0.532979,1.80456,0.532979,"{'att': 154, 'def': 27}","{'att': 324, 'def': 30}",5,5,2,0,2.4593000000000003,w,2022-02-12 15:00:00,1,0,0,3,1.271581
a,1.26179,2.74936,1.26179,2.74936,"{'att': 234, 'def': 25}","{'att': 312, 'def': 25}",4,8,0,2,0.4998,l,2022-02-15 20:15:00,0,0,1,0,-1.4875699999999998
h,0.44587,0.821228,0.44587,0.821228,"{'att': 103, 'def': 20}","{'att': 315, 'def': 23}",6,2,0,3,0.91,l,2022-02-19 15:00:00,0,0,1,0,-0.3753579999999999
h,0.627107,1.3027,0.627107,1.3027,"{'att': 157, 'def': 25}","{'att': 334, 'def': 20}",5,4,0,2,0.7048,l,2022-02-26 15:30:00,0,0,1,0,-0.675593
h,1.79548,1.6853,1.79548,1.6853,"{'att': 322, 'def': 18}","{'att': 119, 'def': 15}",3,7,1,2,1.4559000000000002,l,2021-08-14 14:00:00,0,0,1,0,0.1101799999999999
a,0.690464,2.63945,0.690464,2.63945,"{'att': 280, 'def': 22}","{'att': 91, 'def': 13}",3,8,0,2,0.2987999999999999,l,2021-08-21 11:30:00,0,0,1,0,-1.948986
h,1.71102,1.52078,1.71102,1.52078,"{'att': 346, 'def': 24}","{'att': 122, 'def': 15}",2,9,1,1,1.5185,d,2021-08-29 13:00:00,0,1,0,1,0.1902399999999999
a,1.82061,1.80386,1.82061,1.80386,"{'att': 217, 'def': 20}","{'att': 191, 'def': 16}",4,7,1,3,1.404,l,2021-09-13 19:00:00,0,0,1,0,0.01675
h,0.775574,1.09928,0.775574,1.09928,"{'att': 292, 'def': 23}","{'att': 184, 'def': 17}",9,7,0,1,1.0198,l,2021-09-18 14:00:00,0,0,1,0,-0.323706
a,0.428866,2.16233,0.428866,2.16233,"{'att': 324, 'def': 23}","{'att': 118, 'def': 13}",9,17,2,2,0.2818,d,2021-09-25 14:00:00,0,1,0,1,-1.733464
h,0.584725,0.673617,0.584725,0.673617,"{'att': 200, 'def': 26}","{'att': 194, 'def': 12}",6,9,0,0,1.1850999999999998,d,2021-10-02 14:00:00,0,1,0,1,-0.0888919999999999
a,1.07719,2.15712,1.07719,2.15712,"{'att': 352, 'def': 15}","{'att': 145, 'def': 17}",6,18,0,2,0.5535,l,2021-10-16 14:00:00,0,0,1,0,-1.0799299999999998
a,0.673195,1.42567,0.673195,1.42567,"{'att': 214, 'def': 22}","{'att': 95, 'def': 15}",4,6,2,2,0.7062999999999999,d,2021-10-23 14:00:00,0,1,0,1,-0.752475
h,2.72901,0.834312,2.72901,0.834312,"{'att': 309, 'def': 19}","{'att': 175, 'def': 19}",2,2,3,1,2.609,w,2021-10-30 14:00:00,1,0,0,3,1.894698
a,0.674072,3.00585,0.674072,3.00585,"{'att': 334, 'def': 21}","{'att': 136, 'def': 10}",5,16,1,1,0.1748,d,2021-11-06 15:00:00,0,1,0,1,-2.331778
h,1.04224,1.74839,1.04224,1.74839,"{'att': 271, 'def': 23}","{'att': 143, 'def': 8}",5,9,3,3,0.8682000000000001,d,2021-11-20 15:00:00,0,1,0,1,-0.70615
a,0.195537,0.711691,0.195537,0.711691,"{'att': 280, 'def': 20}","{'att': 119, 'def': 17}",6,5,0,0,0.7197,d,2021-12-01 19:30:00,0,1,0,1,-0.516154
a,0.604599,1.70609,0.604599,1.70609,"{'att': 140, 'def': 21}","{'att': 195, 'def': 12}",6,4,0,1,0.5245,l,2021-12-04 15:00:00,0,0,1,0,-1.1014910000000002
