id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7723,John McGinn,6,540,1,0.2092153588309884,4,1.4223957061767578,8,11,3,0,M,Aston Villa,1,0.2092153588309884,2.9358086735010147,1.484925664961338
7726,Ezri Konsa Ngoyo,6,540,1,0.4609285295009613,0,0,3,0,0,0,D,Aston Villa,1,0.4609285295009613,0.5481054559350014,0.5481054559350014
7753,James Justin,7,630,1,0.1500699818134308,0,0.17036427557468414,2,3,1,0,D M,Leicester,1,0.1500699818134308,1.7330524921417236,1.5657183229923248
7768,Mason Mount,7,541,1,0.7792063616216183,1,1.1562556475400925,16,11,0,0,F M S,Chelsea,1,0.7792063616216183,1.9550803005695343,1.1307553891092539
7991,Aaron Connolly,6,295,1,0.5869272574782372,1,0.10952901840209961,6,3,0,0,F S,Brighton,1,0.5869272574782372,0.6948071382939816,0.031005606055259705
8067,Reece James,7,541,1,0.1743212193250656,1,0.9663016572594643,6,9,1,0,D M S,Chelsea,1,0.1743212193250656,2.261671118438244,2.0738873332738876
8226,Tariq Lamptey,8,644,1,0.7030039094388485,1,0.5910012722015381,6,7,2,0,D M,Brighton,1,0.7030039094388485,3.556347645819187,2.7602721750736237
8285,Sander Berge,8,643,1,1.039835574105382,1,1.049392819404602,7,9,3,0,M S,Sheffield United,0,0.2786667514592409,1.7436153702437878,1.1282331310212612
8288,Tomas Soucek,8,720,1,2.101478025317192,0,0.34041366539895535,18,5,1,0,M,West Ham,1,2.101478025317192,3.0611382871866226,1.1886519826948643
8291,Daniel Podence,6,452,1,1.1948107481002808,2,0.7550658509135246,10,6,0,0,F M,Wolverhampton Wanderers,1,1.1948107481002808,2.463409148156643,0.8634526208043098
8379,Alexis Mac Allister,3,37,1,0.05224207788705826,0,0,1,0,0,0,S,Brighton,1,0.05224207788705826,0.05224207788705826,0
8481,Jimmy Dunne,2,180,1,0.22237548604607582,0,0.10200031474232674,3,2,0,0,D,Burnley,1,0.22237548604607582,0.10443910025060177,0.043035658076405525
8706,Eberechi Eze,7,313,1,0.961464636027813,1,0.30102165415883064,7,4,0,0,M S,Crystal Palace,1,0.961464636027813,1.2409292347729206,0.2779839560389519
8718,Stuart Dallas,8,712,1,0.9730006251484156,0,0.3072105161845684,7,3,2,0,D M,Leeds,1,0.9730006251484156,3.7264645621180534,3.368690513074398
8720,Jack Harrison,7,624,1,0.41220883280038834,2,2.294727921485901,8,18,0,0,M,Leeds,1,0.41220883280038834,4.393395897001028,2.039344534277916
8821,Donny van de Beek,5,65,1,0.28271791338920593,0,0.0460856556892395,1,1,0,0,S,Manchester United,1,0.28271791338920593,0.6322868950664997,0.3034832999110222
