chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
,,122806,0,0,0,0,0,3,6.8,6.8,2,6.8,38,False,,,55,122806.jpg,5.8,2.6,a,2,7,29,11271,5638,1.2,5.3,McGinn,450,1,4,3,5,0,0,0,3,0,0,2,107,140.6,143.6,72.0,35.6,36,11,19,14,74,42,34,17,2.0,,6.0,,,,5.8,1.0545454545454545,0.6909090909090909
0.0,0.0,123354,0,0,-1,1,0,2,0.0,0.0,0,0.0,39,False,Groin Injury - Unknown return date,2020-10-01 22:30:14.186065,44,123354.jpg,0.0,0.0,i,2,7,0,3,144,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,454,177,435,176,404,160,459,177,,,,,,,,0.0,-0.45454545454545453
,,148508,0,0,-1,1,0,3,3.2,3.2,2,3.2,40,False,,,54,148508.jpg,3.2,1.0,a,2,7,16,1022,2662,0.6,3.0,Trézéguet,404,0,1,3,3,0,0,0,0,0,0,0,68,74.8,91.3,78.0,24.3,135,52,50,36,65,38,67,39,,,3.0,,,,3.5643564356435644,0.5925925925925926,0.22222222222222224
,,149484,0,0,2,-2,2,2,5.0,5.0,0,5.0,41,False,,,52,149484.jpg,6.0,10.2,a,2,7,30,26727,17419,1.0,5.8,Mings,450,1,1,3,5,0,0,0,2,0,0,3,119,147.2,24.3,44.0,21.7,31,8,194,56,128,25,81,16,,,,,,,6.0,1.1538461538461537,0.7692307692307692
,,169359,0,0,0,0,0,2,3.2,3.2,1,3.2,42,False,,,45,169359.jpg,3.6,1.7,a,2,7,18,4453,2042,0.7,4.0,Targett,450,0,0,3,5,0,0,0,2,0,0,0,83,45.4,29.3,32.0,10.8,213,86,172,46,168,45,192,64,6.0,,5.0,,,,3.6,0.8,0.35555555555555557
0.0,0.0,184386,0,0,0,0,0,2,0.0,0.0,0,0.0,43,False,Joined Luton Town on a permanent deal on 1/9,2020-09-02 09:00:10.425295,45,184386.jpg,0.0,0.0,u,2,7,0,3,10,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,491,194,479,194,453,182,496,194,,,,,,,,0.0,-0.4444444444444444
,,184704,0,0,-1,1,0,3,0.2,0.2,0,0.2,44,False,,,44,184704.jpg,0.5,0.4,a,2,7,1,404,716,0.0,0.2,Nakamba,13,0,0,0,0,0,0,0,1,0,0,0,4,8.4,0.6,7.0,1.7,335,150,346,169,270,142,360,163,,,,,,,6.923076923076923,0.11363636363636363,-0.3409090909090909
,,193488,0,0,-2,2,0,3,0.0,0.0,0,0.0,45,False,,,58,193488.jpg,0.0,0.1,a,2,7,0,69,248,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,574,231,574,230,575,230,578,231,5.0,,2.0,,2.0,,,0.0,-0.3448275862068966
,,199798,1,-1,2,-2,1,2,3.5,3.5,1,3.5,46,False,,,47,199798.jpg,5.8,8.0,a,2,7,29,18859,8520,0.7,6.2,Konsa,450,1,0,3,5,0,0,0,0,0,0,3,110,123.0,0.5,59.0,18.2,51,16,351,131,96,16,111,32,,,,,,,5.8,1.2340425531914894,0.8085106382978723
,,203368,0,0,-1,1,0,2,0.0,0.0,0,0.0,47,False,,,44,203368.jpg,0.0,0.1,a,2,7,0,24,137,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,460,182,442,181,412,166,465,182,,,,,,,,0.0,-0.45454545454545453
