fixture_id,opponent_team_id,total_points,was_home,kickoff_time,team_h_score,team_a_score,gameweek_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,team_id,opponent_strength,opponent_team_name,player_id,web_name,position_id,player_price
6,2,3,True,2019-08-10 16:30:00,3,1,1,90,0,0,0,1,0,0,0,0,0,3,0,13,21.4,0.0,0.0,2.1,55,0,514748,0,0,2,2,AVL,340,Lloris,1,5.3
6,2,2,True,2019-08-10 16:30:00,3,1,1,90,0,0,0,1,0,0,0,0,0,0,0,17,17.6,26.5,8.0,5.2,55,0,436313,0,0,2,2,AVL,331,Alderweireld,2,5.3
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,3977,0,0,20,4,WOL,173,Ghezzal,3,5.1
7,18,6,False,2019-08-10 14:00:00,0,3,1,26,1,0,0,0,0,0,0,0,0,0,1,27,34.2,2.8,19.0,5.6,60,0,19770,0,0,18,3,WAT,502,Maupay,4,5.7
9,12,0,False,2019-08-11 15:30:00,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0,12,4,MUN,529,Tomori,2,4.2
9,12,2,False,2019-08-11 15:30:00,4,0,1,90,0,0,0,4,0,0,0,0,0,0,0,22,18.0,29.0,0.0,4.7,55,0,49783,0,0,12,4,MUN,432,Kovacic,3,5.3
4,7,0,False,2019-08-10 14:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,41384,0,0,7,3,CRY,479,Lössl,1,4.2
5,20,1,True,2019-08-11 13:00:00,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,3,5.4,2.1,11.0,1.9,60,0,13242,0,0,20,4,WOL,172,Barnes,3,5.8
5,20,3,True,2019-08-11 13:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,9,5.6,49.2,13.0,6.8,70,0,568427,0,0,20,4,WOL,171,Maddison,3,7.3
6,2,2,True,2019-08-10 16:30:00,3,1,1,90,0,0,0,1,0,0,0,0,0,0,0,13,15.2,53.0,2.0,7.0,55,0,135628,0,0,2,2,AVL,332,Rose,2,5.3
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,12460,0,0,20,4,WOL,170,Ward,1,4.2
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,6851,0,0,20,4,WOL,169,Jakupovic,1,4.2
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,7262,0,0,20,4,WOL,433,Justin,2,4.7
