h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.295654,0.5468069999999999,0.295654,0.5468069999999999,"{'att': 274, 'def': 19}","{'att': 257, 'def': 24}",4,4,1,1,0.9414,d,2020-10-26 17:30:00,0,1,0,1,-0.2511530000000001
a,0.48268500000000003,1.62247,0.48268500000000003,1.62247,"{'att': 187, 'def': 37}","{'att': 287, 'def': 23}",3,4,0,2,0.4562,l,2020-11-02 17:30:00,0,0,1,0,-1.139785
h,0.7993520000000001,1.87063,0.7993520000000001,1.87063,"{'att': 263, 'def': 16}","{'att': 142, 'def': 19}",6,4,0,1,0.579,l,2020-11-08 12:00:00,0,0,1,0,-1.0712780000000002
h,0.8614450000000001,1.6591099999999999,0.8614450000000001,1.6591099999999999,"{'att': 173, 'def': 27}","{'att': 266, 'def': 11}",5,10,0,2,0.6998,l,2020-09-12 19:00:00,0,0,1,0,-0.7976650000000001
a,2.06377,1.32902,2.06377,1.32902,"{'att': 420, 'def': 23}","{'att': 217, 'def': 17}",4,16,1,2,1.9438,l,2020-09-19 19:00:00,0,0,1,0,0.7347499999999998
h,3.05703,0.385152,3.05703,0.385152,"{'att': 370, 'def': 17}","{'att': 221, 'def': 27}",1,4,4,0,2.8669,w,2020-09-27 18:00:00,1,0,0,3,2.671878
a,2.03227,0.45602200000000004,2.03227,0.45602200000000004,"{'att': 376, 'def': 11}","{'att': 161, 'def': 22}",3,2,3,0,2.5276,w,2020-10-04 11:00:00,1,0,0,3,1.5762479999999999
a,1.4999200000000001,1.7760200000000002,1.4999200000000001,1.7760200000000002,"{'att': 307, 'def': 17}","{'att': 246, 'def': 20}",7,1,3,3,1.1232,d,2020-10-18 15:30:00,0,1,0,1,-0.2761
h,0.263739,0.8924559999999999,0.263739,0.8924559999999999,"{'att': 406, 'def': 20}","{'att': 157, 'def': 12}",2,13,1,1,0.6767000000000001,d,2020-10-24 11:30:00,0,1,0,1,-0.628717
a,0.269048,1.56302,0.269048,0.801848,"{'att': 460, 'def': 13}","{'att': 159, 'def': 23}",0,12,1,2,0.26940000000000003,l,2020-10-31 17:30:00,0,0,1,0,-0.5327999999999999
h,1.42614,1.84922,1.42614,1.08806,"{'att': 222, 'def': 20}","{'att': 303, 'def': 8}",6,5,1,0,1.0165,w,2020-11-07 20:00:00,1,0,0,3,0.33807999999999994
a,1.61307,0.9493159999999999,1.61307,0.9493159999999999,"{'att': 188, 'def': 6}","{'att': 247, 'def': 30}",3,10,2,0,1.9139,w,2020-09-14 17:00:00,1,0,0,3,0.663754
h,0.727677,2.07651,0.727677,1.31535,"{'att': 430, 'def': 14}","{'att': 228, 'def': 30}",3,9,1,3,0.422,l,2020-09-21 19:15:00,0,0,1,0,-0.587673
a,0.385152,3.05703,0.385152,3.05703,"{'att': 221, 'def': 27}","{'att': 370, 'def': 17}",4,1,0,4,0.0847,l,2020-09-27 18:00:00,0,0,1,0,-2.671878
h,0.89359,0.9693930000000001,0.89359,0.9693930000000001,"{'att': 321, 'def': 22}","{'att': 297, 'def': 14}",2,6,1,0,1.2287,w,2020-10-04 13:00:00,1,0,0,3,-0.07580299999999995
a,0.6181909999999999,1.08332,0.6181909999999999,1.08332,"{'att': 312, 'def': 26}","{'att': 132, 'def': 24}",2,14,1,0,0.9133,w,2020-10-19 19:00:00,1,0,0,3,-0.465129
h,0.758626,0.253685,0.758626,0.253685,"{'att': 265, 'def': 26}","{'att': 407, 'def': 13}",5,4,1,1,1.7854,d,2020-10-25 16:30:00,0,1,0,1,0.5049410000000001
h,1.34895,0.802767,1.34895,0.802767,"{'att': 374, 'def': 27}","{'att': 234, 'def': 14}",8,4,2,0,1.82,w,2020-10-30 20:00:00,1,0,0,3,0.5461830000000001
a,0.57936,2.0545,0.57936,0.532166,"{'att': 261, 'def': 10}","{'att': 296, 'def': 20}",6,1,0,1,0.2718,l,2020-11-08 14:00:00,0,0,1,0,0.04719399999999997
a,2.1628700000000003,0.126327,2.1628700000000003,0.126327,"{'att': 307, 'def': 14}","{'att': 425, 'def': 13}",11,0,3,0,2.8937,w,2020-09-12 11:30:00,1,0,0,3,2.036543
